YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,T2MDEW,T2MWET,TS,PS,WS10M,WD10M,WS50M,WD50M
2000,5,7,4.21,41.69,0,11.55,-2.35,4.59,11.11,76.36,2.55,211.44,2.84,209.38
2000,5,8,5.62,51.38,0,11.75,1.41,6.58,11.32,76.21,2.55,193.38,3.17,190.88
2000,5,9,6.77,62.06,0.07,11.52,4.1,7.81,11.66,76.2,2.62,213.56,3.2,210.19
2000,5,10,7.02,50.56,0,15.57,4.5,10.03,14.91,76.1,2.76,221.12,3.12,220.25
2000,5,11,6.53,58.06,0.83,12.3,3.65,7.98,13,76.03,2.71,222.12,2.88,219.06
2000,5,12,5.92,67.69,0.79,8.45,2.31,5.38,9.92,76.1,2.36,191,2.7,171.94
2000,5,13,4.52,50.88,0,9.55,-1.58,3.99,10.38,76.08,2.7,210.88,3,207.81
2000,5,14,3.78,40.12,0,10.73,-3.89,3.42,11.41,76.12,2.88,232.69,3.2,232.06
2000,5,15,4.09,38.88,0,11.9,-2.94,4.48,12.52,76.12,2.62,213.38,2.89,209.38
2000,5,16,4.52,42.81,0.13,12.64,-1.43,5.6,13.42,75.99,3.08,211.75,3.63,209.56
2000,5,17,4.58,40.25,0,13.56,-1.38,6.08,14.26,75.88,3.3,216.88,3.98,215.12
2000,5,18,4.58,38.38,0,14.17,-1.44,6.37,15.07,75.84,3.27,222.06,3.91,220.94
2000,5,19,4.76,36.88,0,14.56,-0.91,6.83,14.91,75.8,2.47,220.75,2.6,218.56
2000,5,20,4.33,35.19,0,14.52,-2.16,6.19,14.73,75.87,2.84,204.62,3.18,202.75
2000,5,21,4.82,46.31,0.59,12.59,-0.92,5.84,13.55,75.87,4.23,227.12,4.7,226.25
2000,5,22,6.59,70.62,1.73,9.4,3.73,6.56,11.23,75.97,2.23,230.56,2.46,226.19
2000,5,23,5,57.06,0.49,9.03,-0.19,4.42,10.57,76.12,2.79,229.25,3.11,228.81
2000,5,24,4.09,41.38,0,10.83,-2.87,3.98,11.65,76,2.61,246.12,2.87,235.75
2000,5,25,3.78,35.62,0.01,11.62,-3.9,3.86,12.16,75.98,2.86,249.5,3.19,249.19
2000,5,26,3.42,35.75,0,10.4,-5.1,2.65,10.75,75.86,3.09,221.25,3.45,218.62
2000,5,27,3.36,33.81,0,11.57,-5.39,3.08,12.14,75.82,2.68,227.88,2.96,226.62
2000,5,28,3.78,36.94,0,12.4,-4.09,4.15,13.23,75.74,3.62,208.06,4.41,206.56
2000,5,29,6.29,71.81,2.74,8.25,3.06,5.65,9.12,75.82,2.42,158.5,2.84,157.25
2000,5,30,5.49,60.56,0.34,9.76,1.05,5.4,11.83,75.77,2.82,201.75,3.41,201.31
2000,5,31,5.74,61.5,0.73,10.11,1.61,5.86,12.24,75.74,2.92,202.88,3.43,202
2000,6,1,6.16,70.31,4.02,8.28,2.68,5.48,9.83,75.59,2.95,225.44,3.62,223.69
2000,6,2,5.55,64.81,0.38,8.7,1.33,5.01,10.94,75.75,3.14,220.88,3.6,220.19
2000,6,3,3.66,48.12,0.01,6.8,-4.85,0.98,7.88,76.02,3.29,241.38,3.9,242.94
2000,6,4,2.01,23.75,0,8.9,-11.53,-1.32,9.02,76.19,2.05,232.56,2.12,233.5
2000,6,5,2.44,26.31,0,11.98,-9.35,1.32,12.67,75.83,3.01,220.94,3.49,219.31
2000,6,6,3.42,30.81,0,13.67,-5.27,4.19,14.42,75.68,3.37,200.94,4.15,198.31
2000,6,7,3.85,31.75,0,15.07,-3.67,5.7,15.83,75.66,3.12,215.44,3.87,214
2000,6,8,3.91,30.81,0.08,14.94,-3.56,5.69,15.23,75.54,2.59,232.19,2.99,231.38
2000,6,9,4.33,34,0.17,14.25,-2.22,6.01,14.55,75.64,3.48,251.38,4.12,250.25
2000,6,10,3.6,31.81,0.03,13.2,-4.54,4.33,13.9,75.69,3.6,246.94,4.42,256.69
2000,6,11,2.38,23.94,0,12.3,-9.56,1.37,12.49,75.93,3.15,269.38,3.66,268.12
2000,6,12,1.83,16.31,0,14.73,-12.63,1.05,14.33,75.87,3.3,226.12,3.68,225.5
2000,6,13,2.2,17.12,0.01,16.05,-10.68,2.69,15.88,75.65,3.12,237.06,3.47,235.81
2000,6,14,3.85,35.19,0.26,11.96,-4.15,3.9,12.51,75.76,3.35,215.19,3.43,214.12
2000,6,15,5.37,47.69,0,12.73,0.83,6.78,13.81,75.81,2.45,212,2.81,212.38
2000,6,16,6.16,57.69,0.04,11.45,2.77,7.11,12.94,76.1,2.09,229.31,2.16,225.25
2000,6,17,6.53,58.38,1.25,12.44,3.73,8.08,14.05,76.12,2.15,189.25,2.52,176.25
2000,6,18,5.68,42.12,0,16.43,1.52,8.98,17.29,75.79,2.25,96.69,3.12,102.69
2000,6,19,5.8,37.56,0,17.44,1.75,9.6,18.52,75.65,2.63,207.81,3.22,205.44
2000,6,20,8,65.88,1.08,12.99,6.48,9.73,14.12,75.76,2.25,208.81,2.5,208.19
2000,6,21,6.9,56.25,1.06,13.5,4.3,8.9,14.51,76,2.77,248.31,3.21,249.5
2000,6,22,5.74,49.38,1.79,13.17,1.76,7.47,14.28,76.02,2.51,244.56,2.8,243.94
2000,6,23,5.31,40.31,0,14.67,0.66,7.67,15.51,75.92,2.69,242.19,3,242
2000,6,24,5.37,39.38,0.19,15.59,0.86,8.23,16.45,75.91,2.63,231.69,2.91,231.44
2000,6,25,4.27,29.94,0,17.74,-2.25,7.75,18.93,75.78,2.88,165.94,3.36,152.06
2000,6,26,3.6,23,0,19.58,-4.52,7.52,20.46,75.67,2.98,240.12,3.49,239.5
2000,6,27,4.39,26.75,0,19.19,-1.88,8.65,20.4,75.69,3.58,240.31,4.27,238.12
2000,6,28,5.62,35.75,0.46,18.23,1.46,9.85,19.73,75.91,2.86,226.31,3.16,223.62
2000,6,29,6.1,43.56,0.27,16.07,2.69,9.38,17.6,76.12,2.66,251.38,3.02,251.56
2000,6,30,5.49,39.06,0.81,16.13,1.22,8.67,17.23,76.08,2.86,249.19,3.06,250.38
2000,7,1,4.46,33.62,0.03,15.83,-1.77,7.03,17.09,75.89,2.96,230.69,3.25,230.81
2000,7,2,5.31,40.88,0.9,14.85,0.65,7.75,15.9,75.81,3.82,257.38,4.6,257.5
2000,7,3,4.94,36.31,0.56,15.42,-0.34,7.55,16.04,75.76,2.77,246,3.09,247.94
2000,7,4,4.03,29.56,0,15.9,-3.06,6.43,17.15,75.88,2.69,221.06,3,219.81
2000,7,5,3.54,24.06,0,17.27,-4.79,6.24,18.55,75.9,3.01,218.5,3.31,217.06
2000,7,6,5.13,31.69,0,18.01,0.19,9.1,19.69,75.88,1.93,211.69,2.3,207.94
2000,7,7,4.64,29.75,0.5,18.44,-1.26,8.59,19.74,75.86,3.04,229,3.34,228.69
2000,7,8,4.64,26.5,0,19.65,-1.22,9.22,20.98,75.77,2.66,237.94,2.9,239.19
2000,7,9,5.19,28.38,0.05,20.44,0.3,10.37,22.06,75.51,2.23,188.56,2.66,183.69
2000,7,10,4.94,27.81,0.06,19.48,-0.3,9.59,20.31,75.62,2.44,232.81,2.56,233.38
2000,7,11,5.25,31.69,0,18.73,0.59,9.66,20.19,75.64,2.69,263,2.84,261.69
2000,7,12,5.8,34.06,0.04,18.56,1.93,10.24,19.4,75.71,2.73,241.69,2.83,240.69
2000,7,13,5.37,33,0,18.14,0.8,9.48,19.26,75.72,2.75,254.44,2.84,254.88
2000,7,14,5.13,33.25,0.24,17.38,0.11,8.74,18.9,75.6,2.94,256.88,3.36,255.81
2000,7,15,6.04,44.25,0.5,15.74,2.5,9.12,17.9,75.58,2.84,253,3.19,251.44
2000,7,16,5.98,43.94,0.5,15.48,2.25,8.87,17.24,75.56,2.55,234.94,2.77,246.5
2000,7,17,6.1,51.12,0.26,13,2.51,7.76,14.6,75.65,2.16,291.12,2.3,288.62
2000,7,18,5.86,49.62,0.02,13.03,1.94,7.49,14.63,75.63,2.41,244.5,2.56,241.25
2000,7,19,4.52,37.5,0.17,14.53,-1.5,6.51,16.15,75.68,2.91,227.56,3.02,227.19
2000,7,20,5.37,36.5,0,16.59,0.8,8.7,18.47,75.74,2.14,227.5,2.3,225.5
2000,7,21,6.47,42.31,0,17.27,3.4,10.34,19.33,75.82,2.48,210.5,2.64,211.69
2000,7,22,7.2,50.81,0.02,15.94,5.02,10.48,17.83,75.81,2.01,236.44,2.28,237.44
2000,7,23,6.35,45.44,1.37,15.86,3.11,9.48,17.5,75.75,2.38,242.06,2.69,241.69
2000,7,24,5.43,42.88,0.12,14.85,0.8,7.83,16.65,75.7,2.75,255.75,3.08,254.69
2000,7,25,4.94,39.75,0.43,14.14,-0.27,6.94,15.45,76.01,2.47,245.12,2.59,257.94
2000,7,26,3.91,29.69,0,15.8,-3.31,6.24,17.07,76.08,2.96,239.38,3.09,239.38
2000,7,27,4.7,30.75,0.02,17.48,-1.04,8.22,19.08,75.96,2.59,216.56,2.81,218.25
2000,7,28,7.08,44.19,0.19,18.72,4.78,11.75,21.05,75.97,2.29,198.25,2.92,188
2000,7,29,6.65,39.88,0.08,19.47,3.94,11.71,21.52,76.04,3.22,229.44,3.88,230.88
2000,7,30,5.98,33.69,0,20.03,2.44,11.24,21.22,76.1,2.87,249,3.13,249.94
2000,7,31,5.19,30.81,0,18.8,0.37,9.59,19.9,75.98,3.05,255.06,3.41,255.88
2000,8,1,4.58,30.69,0.11,16.86,-1.31,7.77,18.3,75.74,3.05,265.19,3.45,265.31
2000,8,2,4.76,34.56,0.04,15.63,-0.87,7.38,16.78,75.65,2.55,238.94,2.81,236.81
2000,8,3,4.21,29.69,0.4,15.99,-2.46,6.76,16.51,75.67,3.16,244.06,3.55,243.69
2000,8,4,3.3,23,0,17.33,-5.66,5.83,18.25,75.69,2.77,228,3.05,227.25
2000,8,5,2.75,17.12,0,19.37,-7.63,5.87,19.97,75.88,3.1,236,3.48,236.31
2000,8,6,3.42,19.19,0,20.15,-5.1,7.53,21.04,75.98,2.46,211.25,2.81,208.62
2000,8,7,4.27,24.69,0,19.33,-2.24,8.55,20.63,76.02,2.89,219,3.2,216.88
2000,8,8,4.64,27.38,0,19.11,-1.07,9.01,20.29,76.07,2.87,237.38,3.02,238.19
2000,8,9,6.16,48,0.06,14.01,2.78,8.39,14.74,76.13,2.49,252,2.63,251.69
2000,8,10,5.25,43.44,0,14.47,0.6,7.54,15.89,76.07,2.73,234.12,2.93,233.62
2000,8,11,3.17,24.88,0,15.73,-6.35,4.69,16.36,75.95,2.66,225.69,2.84,224.12
2000,8,12,2.44,16.69,0,17.12,-9.1,4.01,17.56,75.93,3.08,219.25,3.34,215.88
2000,8,13,3.6,22.81,0,17.6,-4.48,6.56,17.84,76.09,2.81,218.88,2.97,215.81
2000,8,14,3.05,21.56,0,16.6,-6.31,5.15,16.94,76.09,2.75,236.31,2.95,234.94
2000,8,15,3.05,21.25,0,16.38,-6.45,4.96,16.91,75.85,3.08,219.75,3.32,218.69
2000,8,16,3.48,24.31,0.09,16.2,-4.92,5.64,16.58,75.8,2.84,225.56,3.01,223.19
2000,8,17,4.64,41.44,0.24,12.15,-1.24,5.45,13.08,75.96,2.68,237.25,2.96,233.06
2000,8,18,4.33,43.75,0.07,11.47,-2.52,4.48,13.45,76.2,2.63,227.38,2.9,225.88
2000,8,19,2.62,23.44,0,13.32,-8.22,2.55,14.13,76.14,2.73,225.19,2.91,224.75
2000,8,20,2.93,23.44,0.15,14.37,-6.98,3.7,15.36,76.01,2.96,246.94,3.18,245
2000,8,21,4.09,33.31,0,13.54,-2.74,5.4,14.53,76.14,2.27,230.19,2.34,242.19
2000,8,22,3.17,28,0.01,13.96,-6.05,3.95,14.79,76.05,2.84,226.44,3.05,224.69
2000,8,23,3.85,29.31,0.14,14.44,-3.67,5.38,14.58,76.2,2.7,235.5,3.02,236.31
2000,8,24,3.36,26.62,0.01,15.23,-5.56,4.83,15.38,76.12,2.09,240.81,2.12,242.19
2000,8,25,2.69,18.62,0,17.3,-7.89,4.7,18.23,75.89,2.94,196.19,3.55,194
2000,8,26,4.03,24.75,0,18.55,-2.95,7.8,19.92,76.16,2.93,220.12,3.43,220.25
2000,8,27,4.58,31.5,0,17.65,-1.51,8.07,18.67,76.15,2.92,226.12,3.29,225.81
2000,8,28,2.69,18.75,0,17.69,-8.2,4.74,17.7,75.89,2.71,227.25,2.94,225.06
2000,8,29,2.5,16.44,0,17.08,-8.88,4.1,16.78,75.62,2.88,225.25,3.13,223.44
2000,8,30,3.72,24.81,0,16.78,-4.05,6.37,16.44,75.6,3.11,268.06,3.59,268.81
2000,8,31,3.72,28.69,0,14.76,-4.09,5.34,14.57,75.6,2.79,245.5,3.11,246.75
2000,9,1,2.81,23,0,14.25,-7.7,3.27,13.74,75.62,2.45,239.19,2.65,241.12
2000,9,2,2.5,19.69,0,14.46,-8.81,2.83,14.51,75.66,3.01,217.5,3.34,216
2000,9,3,3.11,26.19,0,14.37,-6.2,4.09,15.13,75.84,3.49,204.75,4.2,202.19
2000,9,4,3.3,28,0,14.12,-5.47,4.33,15.33,76.05,3.2,198.94,4.18,197.62
2000,9,5,2.99,25,0.02,13.8,-6.66,3.58,14.48,75.98,3.24,203.19,4.13,201.19
2000,9,6,3.17,27.12,0.08,13.4,-5.97,3.72,13.73,75.92,2.86,207.44,3.16,205.94
